Reviewer,Review,Review_en,SeparatedSentences,ReviewDate
王暖暖~,整部电影我最感动的片段，竟然是当本得到那个实习生工作，前一天晚上细细整理好自己的服装、公文包、上好两个闹钟，对自己说，重回工作，真好的瞬间。 70岁的老爷爷，在同一个单位工作了整整四十年后退休，与妻子拥有一段长达42年的婚姻，然后妻子离世，孩子们不在身边，该用怎...  (展开),"The most touching part of the whole movie was when Ben got the intern job, the night before carefully sorted out his clothes, briefcase, and two alarm clocks, and said to himself, ""Go back to work, it's a good moment."" The 70-year-old grandfather, who retired after working in the same company for 40 years, had a 42-year marriage with his wife, then died and the children were not around.。。  (Deployment)","The most touching part of the whole movie was when Ben got the intern job, the night before carefully sorted out his clothes, briefcase, and two alarm clocks, and said to himself, ""Go back to work, it's a good moment.""",2016-01-10 19:39:07
王暖暖~,整部电影我最感动的片段，竟然是当本得到那个实习生工作，前一天晚上细细整理好自己的服装、公文包、上好两个闹钟，对自己说，重回工作，真好的瞬间。 70岁的老爷爷，在同一个单位工作了整整四十年后退休，与妻子拥有一段长达42年的婚姻，然后妻子离世，孩子们不在身边，该用怎...  (展开),"The most touching part of the whole movie was when Ben got the intern job, the night before carefully sorted out his clothes, briefcase, and two alarm clocks, and said to himself, ""Go back to work, it's a good moment."" The 70-year-old grandfather, who retired after working in the same company for 40 years, had a 42-year marriage with his wife, then died and the children were not around.。。  (Deployment)","The 70-year-old grandfather, who retired after working in the same company for 40 years, had a 42-year marriage with his wife, then died and the children were not around.。。  (Deployment)",2016-01-10 19:39:07
牛奶泼了,"这篇影评可能有剧透

试想这样的画面：你住在曼哈顿地区的一座房子里，周围的街道绿树荫荫，跳跃的光点洒在人们的笑脸上。你在家吃着丈夫做好的早餐，亲了亲萌娃，有人按门铃，是一位彬彬有礼、充满智慧、忠诚可靠的老执事，他要载你去你创办的一家公司，这家公司在过去的九个月发展为拥有两百多名...  (展开)","This movie may have a spoiler.

Imagine living in a house in the Manhattan area, surrounded by trees, with jumping lights sprinkling on people's smiling faces.You eat breakfast at home, kiss your baby, ring the doorbell, a polite, intelligent, loyal old deacon who will take you to a company you founded that has grown to more than 200 people over the past nine months.。。  (Deployment)",This movie may have a spoiler.,2016-01-05 13:18:39
牛奶泼了,"这篇影评可能有剧透

试想这样的画面：你住在曼哈顿地区的一座房子里，周围的街道绿树荫荫，跳跃的光点洒在人们的笑脸上。你在家吃着丈夫做好的早餐，亲了亲萌娃，有人按门铃，是一位彬彬有礼、充满智慧、忠诚可靠的老执事，他要载你去你创办的一家公司，这家公司在过去的九个月发展为拥有两百多名...  (展开)","This movie may have a spoiler.

Imagine living in a house in the Manhattan area, surrounded by trees, with jumping lights sprinkling on people's smiling faces.You eat breakfast at home, kiss your baby, ring the doorbell, a polite, intelligent, loyal old deacon who will take you to a company you founded that has grown to more than 200 people over the past nine months.。。  (Deployment)","Imagine living in a house in the Manhattan area, surrounded by trees, with jumping lights sprinkling on people's smiling faces.You eat breakfast at home, kiss your baby, ring the doorbell, a polite, intelligent, loyal old deacon who will take you to a company you founded that has grown to more than 200 people over the past nine months.。。  (Deployment)",2016-01-05 13:18:39
incipient,实习生，或者说是忘年之交，非常细腻的讲述了一个成熟男人的魅力和影响力！从最开始的不适应到后来成为朋友，他在关键时刻的魅力和令人感动的做法，让一个观众都能感受到他的力量！ 家有一老，如有一宝，用这个词来形容ben非常贴切，在关心人方面。用电影中的话来说，就是魅力...  (展开),"Interns, or the turn of the year, tell a very delicate story about the charm and influence of a mature man!From his initial maladjustment to his later friendship, his charm and touching approach at critical moments allow an audience to feel his power! Home has an old, such as a treasure, to use the word ben very aptly, in terms of caring for people.In the movie, it's glamour.。。  (Deployment)","Interns, or the turn of the year, tell a very delicate story about the charm and influence of a mature man!From his initial maladjustment to his later friendship, his charm and touching approach at critical moments allow an audience to feel his power!",2015-12-30 21:31:54
incipient,实习生，或者说是忘年之交，非常细腻的讲述了一个成熟男人的魅力和影响力！从最开始的不适应到后来成为朋友，他在关键时刻的魅力和令人感动的做法，让一个观众都能感受到他的力量！ 家有一老，如有一宝，用这个词来形容ben非常贴切，在关心人方面。用电影中的话来说，就是魅力...  (展开),"Interns, or the turn of the year, tell a very delicate story about the charm and influence of a mature man!From his initial maladjustment to his later friendship, his charm and touching approach at critical moments allow an audience to feel his power! Home has an old, such as a treasure, to use the word ben very aptly, in terms of caring for people.In the movie, it's glamour.。。  (Deployment)","Home has an old, such as a treasure, to use the word ben very aptly, in terms of caring for people.In the movie, it's glamour.。。  (Deployment)",2015-12-30 21:31:54
外岸,老实习生扮演的是一个父亲长辈的角色。最后老实习生对女主说，其实你知道自己想要什么，你只是需要我来告诉你，（支持你）。 这个世界膨胀得太快了，大人好像还在儿童的状态，就不得不面对工作，社会。女主年纪不大时便创立了公司，然后不得不面对家庭与公司难以并...  (展开),"The old intern played the role of an elder father.Finally the old intern said to the hostess, actually you know what you want, you just need me to tell you, (support you). The world is expanding too fast, and adults seem to be still in the state of children, and they have to face work, society.The woman founded the company when she was young, and then had to face the difficulty of matching the family and the company.。。  (Deployment)","The old intern played the role of an elder father.Finally the old intern said to the hostess, actually you know what you want, you just need me to tell you, (support you).",2015-12-29 21:24:45
外岸,老实习生扮演的是一个父亲长辈的角色。最后老实习生对女主说，其实你知道自己想要什么，你只是需要我来告诉你，（支持你）。 这个世界膨胀得太快了，大人好像还在儿童的状态，就不得不面对工作，社会。女主年纪不大时便创立了公司，然后不得不面对家庭与公司难以并...  (展开),"The old intern played the role of an elder father.Finally the old intern said to the hostess, actually you know what you want, you just need me to tell you, (support you). The world is expanding too fast, and adults seem to be still in the state of children, and they have to face work, society.The woman founded the company when she was young, and then had to face the difficulty of matching the family and the company.。。  (Deployment)","The world is expanding too fast, and adults seem to be still in the state of children, and they have to face work, society.The woman founded the company when she was young, and then had to face the difficulty of matching the family and the company.。。  (Deployment)",2015-12-29 21:24:45
奇小怪,除了寻龙诀，最近一段时间就这部电影被种草最多了，评价基本一边倒的好，因此在杀G失败后恣意放松的一个晚上下载了下来。 可是不得不承认对于其中的一些片段我是快进了的，里面的人物都很可爱，大到boss安妮海瑟薇小到那些萌到不行的微胖e-commerce男员工，再到慈祥甚至让我联...  (展开),"In addition to the dragon hunt, the film has been grassed the most in recent times, and the reviews are basically one-sided, so it was downloaded on a night of relaxation after the failure to kill G. But I have to admit that for some of these clips I am fast-forward, the characters are very cute, as big as boss Anne Hathaway, as small as those fat e-commerce male employees who can't budge, and then kindness and even let me connect.。。  (Deployment)","In addition to the dragon hunt, the film has been grassed the most in recent times, and the reviews are basically one-sided, so it was downloaded on a night of relaxation after the failure to kill G. But I have to admit that for some of these clips I am fast-forward, the characters are very cute, as big as boss Anne Hathaway, as small as those fat e-commerce male employees who can't budge, and then kindness and even let me connect.。。  (Deployment)",2015-12-28 23:40:35
阿凯,"这篇影评可能有剧透

这是一部让人看完会顿悟的电影，有点像当年看完《在云端·up in the air》时的感觉，让人回味。影片用一种几乎不可能的编排方式，将一位温情老派企业管理者和一位新时代女权创业者的经历交织起来，虽然选择了一条相对理想化的结合方式，但仍让我觉得无论是企业管理还是人生，他...  (展开)","This movie may have a spoiler.

It's a movie that's kind of like watching ""Up in the Air"" when you look at it.The film interweaves the experiences of a warm-hearted old-school business manager and a new-age feminist entrepreneur in an almost impossible way, choosing a relatively ideal combination, but it still makes me feel that both business management and life, he.。。  (Deployment)",This movie may have a spoiler.,2015-12-22 14:48:38
阿凯,"这篇影评可能有剧透

这是一部让人看完会顿悟的电影，有点像当年看完《在云端·up in the air》时的感觉，让人回味。影片用一种几乎不可能的编排方式，将一位温情老派企业管理者和一位新时代女权创业者的经历交织起来，虽然选择了一条相对理想化的结合方式，但仍让我觉得无论是企业管理还是人生，他...  (展开)","This movie may have a spoiler.

It's a movie that's kind of like watching ""Up in the Air"" when you look at it.The film interweaves the experiences of a warm-hearted old-school business manager and a new-age feminist entrepreneur in an almost impossible way, choosing a relatively ideal combination, but it still makes me feel that both business management and life, he.。。  (Deployment)","It's a movie that's kind of like watching ""Up in the Air"" when you look at it.The film interweaves the experiences of a warm-hearted old-school business manager and a new-age feminist entrepreneur in an almost impossible way, choosing a relatively ideal combination, but it still makes me feel that both business management and life, he.。。  (Deployment)",2015-12-22 14:48:38
特酥♪,"这篇影评可能有剧透

=====版权所有 转载请私信===== “虽先哲说人固有一死，我却一点也不想面对既定的悲剧。尽管不知道距离那个终点有多远，我愿意一直嬉皮笑脸，装聋作哑地挨过一生”——看《The Intern》之前，关于死亡这件事，我是这么想的。 衰老这个词从死亡的根上长出来，盘旋而上，如同麻花...  (展开)","This movie may have a spoiler.

=====All rights reserved.===== ""Although the philosopher said that man is bound to die, I do not want to face the established tragedy at all.I don't know how far I'm from that finish line, but I'm willing to go through life laughing and pretending to be deaf"" – I thought about death before watching The Intern. The word senescence grows from the root of death and spirals upward like a twist.。。  (Deployment)",This movie may have a spoiler.,2015-12-21 16:55:12
特酥♪,"这篇影评可能有剧透

=====版权所有 转载请私信===== “虽先哲说人固有一死，我却一点也不想面对既定的悲剧。尽管不知道距离那个终点有多远，我愿意一直嬉皮笑脸，装聋作哑地挨过一生”——看《The Intern》之前，关于死亡这件事，我是这么想的。 衰老这个词从死亡的根上长出来，盘旋而上，如同麻花...  (展开)","This movie may have a spoiler.

=====All rights reserved.===== ""Although the philosopher said that man is bound to die, I do not want to face the established tragedy at all.I don't know how far I'm from that finish line, but I'm willing to go through life laughing and pretending to be deaf"" – I thought about death before watching The Intern. The word senescence grows from the root of death and spirals upward like a twist.。。  (Deployment)",#ERROR!,2015-12-21 16:55:12
特酥♪,"这篇影评可能有剧透

=====版权所有 转载请私信===== “虽先哲说人固有一死，我却一点也不想面对既定的悲剧。尽管不知道距离那个终点有多远，我愿意一直嬉皮笑脸，装聋作哑地挨过一生”——看《The Intern》之前，关于死亡这件事，我是这么想的。 衰老这个词从死亡的根上长出来，盘旋而上，如同麻花...  (展开)","This movie may have a spoiler.

=====All rights reserved.===== ""Although the philosopher said that man is bound to die, I do not want to face the established tragedy at all.I don't know how far I'm from that finish line, but I'm willing to go through life laughing and pretending to be deaf"" – I thought about death before watching The Intern. The word senescence grows from the root of death and spirals upward like a twist.。。  (Deployment)",The word senescence grows from the root of death and spirals upward like a twist.。。  (Deployment),2015-12-21 16:55:12
江心,从片头Ben介绍自己，妻子离世，朋友们也相继离世，独自旅游，可能年轻时候想做没时间做的事情都尝试了，只是最终回到家还是空落落的。虽然很享受跟儿子孙子再一起，却又自我提醒不能太依赖他们。这个自尊自立的老年人，终于决定再回职场，不再说是为着职业奋斗，或者十年...  (展开),"Ben introduced himself from the beginning, his wife died, his friends also died one after another, traveled alone, and probably tried to do things that he didn't have time to do when he was young, but eventually returned home or empty.While enjoying being with your children and grandchildren again, remind yourself not to rely too much on them.This self-respecting old man finally decided to go back to work, not to fight for a career, or ten years.。。  (Deployment)","Ben introduced himself from the beginning, his wife died, his friends also died one after another, traveled alone, and probably tried to do things that he didn't have time to do when he was young, but eventually returned home or empty.While enjoying being with your children and grandchildren again, remind yourself not to rely too much on them.This self-respecting old man finally decided to go back to work, not to fight for a career, or ten years.。。  (Deployment)",2015-12-20 20:59:46
Naa_,"给我印象最深的部分是本带着三个人去女主妈妈家偷电脑的情节。以及之后他们一起喝酒时女主说的话。 “Nobody calls men 'men' any more.” ""Have you noticed?"" ""Women went from 'girls' to 'women' ."" ""Men went from 'men' to 'boys' ?"" ""This is a p...  (展开)","The most impressive part was the scene where Ben took three people to his mother's house and stole the computer.And what the women said when they drank together. “Nobody calls men 'men' any more。” ""Have you noticed?"" ""Women went from 'girls' to 'women' 。"" ""Men went from 'men' to 'boys' ?"" ""This is a p。。。  (Deployment)",The most impressive part was the scene where Ben took three people to his mother's house and stole the computer.And what the women said when they drank together.,2015-12-20 13:53:26
Naa_,"给我印象最深的部分是本带着三个人去女主妈妈家偷电脑的情节。以及之后他们一起喝酒时女主说的话。 “Nobody calls men 'men' any more.” ""Have you noticed?"" ""Women went from 'girls' to 'women' ."" ""Men went from 'men' to 'boys' ?"" ""This is a p...  (展开)","The most impressive part was the scene where Ben took three people to his mother's house and stole the computer.And what the women said when they drank together. “Nobody calls men 'men' any more。” ""Have you noticed?"" ""Women went from 'girls' to 'women' 。"" ""Men went from 'men' to 'boys' ?"" ""This is a p。。。  (Deployment)","“Nobody calls men 'men' any more。” ""Have you noticed?""",2015-12-20 13:53:26
Naa_,"给我印象最深的部分是本带着三个人去女主妈妈家偷电脑的情节。以及之后他们一起喝酒时女主说的话。 “Nobody calls men 'men' any more.” ""Have you noticed?"" ""Women went from 'girls' to 'women' ."" ""Men went from 'men' to 'boys' ?"" ""This is a p...  (展开)","The most impressive part was the scene where Ben took three people to his mother's house and stole the computer.And what the women said when they drank together. “Nobody calls men 'men' any more。” ""Have you noticed?"" ""Women went from 'girls' to 'women' 。"" ""Men went from 'men' to 'boys' ?"" ""This is a p。。。  (Deployment)","""Women went from 'girls' to 'women' 。"" ""Men went from 'men' to 'boys' ?""",2015-12-20 13:53:26
Naa_,"给我印象最深的部分是本带着三个人去女主妈妈家偷电脑的情节。以及之后他们一起喝酒时女主说的话。 “Nobody calls men 'men' any more.” ""Have you noticed?"" ""Women went from 'girls' to 'women' ."" ""Men went from 'men' to 'boys' ?"" ""This is a p...  (展开)","The most impressive part was the scene where Ben took three people to his mother's house and stole the computer.And what the women said when they drank together. “Nobody calls men 'men' any more。” ""Have you noticed?"" ""Women went from 'girls' to 'women' 。"" ""Men went from 'men' to 'boys' ?"" ""This is a p。。。  (Deployment)","""This is a p。。。  (Deployment)",2015-12-20 13:53:26
哔狗只哔哈士奇,"这篇影评可能有剧透

奔着安妮海瑟薇看的电影，考研前十天的深夜，第一次啃下一部生肉。出乎意料发现没有字幕也能看得懂（虽然被人吐槽不过高中英语水平的句子hhhh）。第一次也想发个长评，作为我在豆瓣n多年来的第一篇长评。 说实话，这部电影其实剧本有些平庸。笑点倒是夹杂的不错。无论是安妮海...  (展开)","This movie may have a spoiler.

Running to Anne Hathaway to watch the movie, ten days before the late night, for the first time chew a raw meat.Unexpectedly, I found that I could understand without subtitles (although I was spit out but high school English level sentences hhhhhhh).For the first time, I would like to make a long review, as my first long review in many years. To be honest, this movie is a bit boring.Laughter is a good mix.Either way, Anne Hale.。。  (Deployment)",This movie may have a spoiler.,2015-12-16 2:47:01
哔狗只哔哈士奇,"这篇影评可能有剧透

奔着安妮海瑟薇看的电影，考研前十天的深夜，第一次啃下一部生肉。出乎意料发现没有字幕也能看得懂（虽然被人吐槽不过高中英语水平的句子hhhh）。第一次也想发个长评，作为我在豆瓣n多年来的第一篇长评。 说实话，这部电影其实剧本有些平庸。笑点倒是夹杂的不错。无论是安妮海...  (展开)","This movie may have a spoiler.

Running to Anne Hathaway to watch the movie, ten days before the late night, for the first time chew a raw meat.Unexpectedly, I found that I could understand without subtitles (although I was spit out but high school English level sentences hhhhhhh).For the first time, I would like to make a long review, as my first long review in many years. To be honest, this movie is a bit boring.Laughter is a good mix.Either way, Anne Hale.。。  (Deployment)","Running to Anne Hathaway to watch the movie, ten days before the late night, for the first time chew a raw meat.Unexpectedly, I found that I could understand without subtitles (although I was spit out but high school English level sentences hhhhhhh).For the first time, I would like to make a long review, as my first long review in many years.",2015-12-16 2:47:01
哔狗只哔哈士奇,"这篇影评可能有剧透

奔着安妮海瑟薇看的电影，考研前十天的深夜，第一次啃下一部生肉。出乎意料发现没有字幕也能看得懂（虽然被人吐槽不过高中英语水平的句子hhhh）。第一次也想发个长评，作为我在豆瓣n多年来的第一篇长评。 说实话，这部电影其实剧本有些平庸。笑点倒是夹杂的不错。无论是安妮海...  (展开)","This movie may have a spoiler.

Running to Anne Hathaway to watch the movie, ten days before the late night, for the first time chew a raw meat.Unexpectedly, I found that I could understand without subtitles (although I was spit out but high school English level sentences hhhhhhh).For the first time, I would like to make a long review, as my first long review in many years. To be honest, this movie is a bit boring.Laughter is a good mix.Either way, Anne Hale.。。  (Deployment)","To be honest, this movie is a bit boring.Laughter is a good mix.Either way, Anne Hale.。。  (Deployment)",2015-12-16 2:47:01
言听计从的赤赤,"法语名：le nouveau stagiaire, 英文名：the intern，和同学一起去电影院看的，迟了五分钟才进场结果找了一圈只有第一排有空座，人爆棚。我们就这么头一次坐第一排看电影。期待这部电影是因为太爱公主日记了，本片女主角就是出演公主日记的女主角，高中英语老师在课上给我们放...  (展开)","French name: le nouveau stagiaire, English name: the intern, went to the cinema with classmates, five minutes late to enter the theater, found a circle only the first row of empty seats, people burst.This is the first time we've seen a movie in the first row.Looking forward to this movie because I love the princess diary too much, the heroine of this movie is the heroine of the princess diary, and the high school English teacher gave us a play in class.。。  (Deployment)","French name: le nouveau stagiaire, English name: the intern, went to the cinema with classmates, five minutes late to enter the theater, found a circle only the first row of empty seats, people burst.This is the first time we've seen a movie in the first row.Looking forward to this movie because I love the princess diary too much, the heroine of this movie is the heroine of the princess diary, and the high school English teacher gave us a play in class.。。  (Deployment)",2015-10-28 6:40:23
coco186的海角,本曾经服务过40年的公司是做电话簿的。退休后70岁的本不想再无所事事，他去应聘Jules公司做了高龄实习生。Jules的时尚网络购物公司就在他过去曾经工作过的地方。在网络搜索兴起之前，电话簿曾经是重要的检索工具。但现在这个行业都消失了。 风靡一时后来却消失的太多了，磁带，...  (展开),"The company that Ben had served for 40 years was a telephone directory.When he retired at age 70, he didn't want to do anything anymore, so he applied for an internship at Jules.Jules' fashion online shopping company is where he used to work.Before the rise of web search, telephone books were an important search tool.But now the industry is gone. Too much of it disappeared after the popularity, the tape.。。  (Deployment)","The company that Ben had served for 40 years was a telephone directory.When he retired at age 70, he didn't want to do anything anymore, so he applied for an internship at Jules.Jules' fashion online shopping company is where he used to work.Before the rise of web search, telephone books were an important search tool.But now the industry is gone.",2024-03-28 11:00:44
coco186的海角,本曾经服务过40年的公司是做电话簿的。退休后70岁的本不想再无所事事，他去应聘Jules公司做了高龄实习生。Jules的时尚网络购物公司就在他过去曾经工作过的地方。在网络搜索兴起之前，电话簿曾经是重要的检索工具。但现在这个行业都消失了。 风靡一时后来却消失的太多了，磁带，...  (展开),"The company that Ben had served for 40 years was a telephone directory.When he retired at age 70, he didn't want to do anything anymore, so he applied for an internship at Jules.Jules' fashion online shopping company is where he used to work.Before the rise of web search, telephone books were an important search tool.But now the industry is gone. Too much of it disappeared after the popularity, the tape.。。  (Deployment)","Too much of it disappeared after the popularity, the tape.。。  (Deployment)",2024-03-28 11:00:44
ForSaber,"""I'm saying that I could potentially be forgiving but don't think that I don't feel what's going on here, it's crushing...Also, if we got divorced h'd remarry. Maybe not to this girl, but someone. And we both know I'm not easy...so I could be like, single f...  (展开)","""I'm saying that I could potentially be forgiving but don't think that I don't feel what's going on here, it's crushing。。。Also, if we got divorced h'd remarry。 Maybe not to this girl, but someone。 And we both know I'm not easy。。。so I could be like, single f。。。  (Deployment)","""I'm saying that I could potentially be forgiving but don't think that I don't feel what's going on here, it's crushing。。。Also, if we got divorced h'd remarry。 Maybe not to this girl, but someone。 And we both know I'm not easy。。。so I could be like, single f。。。  (Deployment)",2024-03-27 5:03:41
叮🐷,"这篇影评可能有剧透

我看电影，一般不留意导演是谁。看完这部电影，后知后觉的知道是女导演拍的，才想说一句：难怪！ 这个电影，越看越觉得Ben真的就是理想的男人形象，永远绅士，永远沉稳，永远会洞悉人心。也许，这就是一个少女心泛滥时看的电影。 资深实习生，真的是一个新的名词，但设定真的很...  (展开)","This movie may have a spoiler.

When I watch movies, I don't usually pay attention to who the director is.After watching this movie, I realized that it was a female director who made it, and I just wanted to say: No wonder! The more I watch this movie, the more I feel that Ben is really the ideal man image, always a gentleman, always calm, always will understand the heart.Maybe that's what a movie looks like when it's full of girls. Senior intern, really a new term, but set really.。。  (Deployment)",This movie may have a spoiler.,2024-01-09 9:50:39
叮🐷,"这篇影评可能有剧透

我看电影，一般不留意导演是谁。看完这部电影，后知后觉的知道是女导演拍的，才想说一句：难怪！ 这个电影，越看越觉得Ben真的就是理想的男人形象，永远绅士，永远沉稳，永远会洞悉人心。也许，这就是一个少女心泛滥时看的电影。 资深实习生，真的是一个新的名词，但设定真的很...  (展开)","This movie may have a spoiler.

When I watch movies, I don't usually pay attention to who the director is.After watching this movie, I realized that it was a female director who made it, and I just wanted to say: No wonder! The more I watch this movie, the more I feel that Ben is really the ideal man image, always a gentleman, always calm, always will understand the heart.Maybe that's what a movie looks like when it's full of girls. Senior intern, really a new term, but set really.。。  (Deployment)","When I watch movies, I don't usually pay attention to who the director is.After watching this movie, I realized that it was a female director who made it, and I just wanted to say: No wonder!",2024-01-09 9:50:39
叮🐷,"这篇影评可能有剧透

我看电影，一般不留意导演是谁。看完这部电影，后知后觉的知道是女导演拍的，才想说一句：难怪！ 这个电影，越看越觉得Ben真的就是理想的男人形象，永远绅士，永远沉稳，永远会洞悉人心。也许，这就是一个少女心泛滥时看的电影。 资深实习生，真的是一个新的名词，但设定真的很...  (展开)","This movie may have a spoiler.

When I watch movies, I don't usually pay attention to who the director is.After watching this movie, I realized that it was a female director who made it, and I just wanted to say: No wonder! The more I watch this movie, the more I feel that Ben is really the ideal man image, always a gentleman, always calm, always will understand the heart.Maybe that's what a movie looks like when it's full of girls. Senior intern, really a new term, but set really.。。  (Deployment)","The more I watch this movie, the more I feel that Ben is really the ideal man image, always a gentleman, always calm, always will understand the heart.Maybe that's what a movie looks like when it's full of girls.",2024-01-09 9:50:39
叮🐷,"这篇影评可能有剧透

我看电影，一般不留意导演是谁。看完这部电影，后知后觉的知道是女导演拍的，才想说一句：难怪！ 这个电影，越看越觉得Ben真的就是理想的男人形象，永远绅士，永远沉稳，永远会洞悉人心。也许，这就是一个少女心泛滥时看的电影。 资深实习生，真的是一个新的名词，但设定真的很...  (展开)","This movie may have a spoiler.

When I watch movies, I don't usually pay attention to who the director is.After watching this movie, I realized that it was a female director who made it, and I just wanted to say: No wonder! The more I watch this movie, the more I feel that Ben is really the ideal man image, always a gentleman, always calm, always will understand the heart.Maybe that's what a movie looks like when it's full of girls. Senior intern, really a new term, but set really.。。  (Deployment)","Senior intern, really a new term, but set really.。。  (Deployment)",2024-01-09 9:50:39
不知名豆友小林,"这篇影评可能有剧透

安妮海瑟薇// 安妮海瑟薇太美了。本说这里是他曾经工作40年的地方，接着海瑟薇站在自己家门口，对他说“这栋房子就像你翻一页故事书就会出现的那种一样”，就像个小女孩儿，在实现自己童年时的梦想，然后他们互道“撒由那拉”告别。真的太温暖了。太爱海瑟薇了。/ 被结尾狠狠雷...  (展开)","This movie may have a spoiler.

Anne Hathaway // Anne Hathaway is so beautiful.Ben said it was where he had worked for 40 years, and then Hathaway stood in front of his house and said, ""This house is like what happens when you turn a page in a storybook,"" like a little girl fulfilling her childhood dreams and saying goodbye to each other.It's really too warm.I love Hathaway so much./ It was thunderous at the end.。。  (Deployment)",This movie may have a spoiler.,2023-07-20 13:42:51
不知名豆友小林,"这篇影评可能有剧透

安妮海瑟薇// 安妮海瑟薇太美了。本说这里是他曾经工作40年的地方，接着海瑟薇站在自己家门口，对他说“这栋房子就像你翻一页故事书就会出现的那种一样”，就像个小女孩儿，在实现自己童年时的梦想，然后他们互道“撒由那拉”告别。真的太温暖了。太爱海瑟薇了。/ 被结尾狠狠雷...  (展开)","This movie may have a spoiler.

Anne Hathaway // Anne Hathaway is so beautiful.Ben said it was where he had worked for 40 years, and then Hathaway stood in front of his house and said, ""This house is like what happens when you turn a page in a storybook,"" like a little girl fulfilling her childhood dreams and saying goodbye to each other.It's really too warm.I love Hathaway so much./ It was thunderous at the end.。。  (Deployment)","Anne Hathaway // Anne Hathaway is so beautiful.Ben said it was where he had worked for 40 years, and then Hathaway stood in front of his house and said, ""This house is like what happens when you turn a page in a storybook,"" like a little girl fulfilling her childhood dreams and saying goodbye to each other.It's really too warm.I love Hathaway so much./ It was thunderous at the end.。。  (Deployment)",2023-07-20 13:42:51
Ray,2022年的今天，焦虑充斥着每一个人。升学，就业，爱情，生子，房车等等，厌倦内卷却又无形助力，呼喊躺平但又躺不下去。一边面临职场年龄歧视，学历歧视，一边延迟退休，生育接近负增长。矛盾，浮躁填满了每一个焦虑的个体。以至于忘却了生活本身，年龄本身的色彩。 本以70岁的...  (展开),"2022 is full of anxiety for everyone.Career, employment, love, childbirth, motorhome, etc., tired of the inner volume but invisible help, shouting lying flat but not lying down.While facing age discrimination in the workplace, education discrimination, while delaying retirement, childbirth is close to negative growth.Contradictions and impetuosity fill every anxious individual.Forgetting the color of life itself, the age itself. He was 70 years old.。。  (Deployment)","2022 is full of anxiety for everyone.Career, employment, love, childbirth, motorhome, etc., tired of the inner volume but invisible help, shouting lying flat but not lying down.While facing age discrimination in the workplace, education discrimination, while delaying retirement, childbirth is close to negative growth.Contradictions and impetuosity fill every anxious individual.Forgetting the color of life itself, the age itself.",2022-07-25 23:22:39
Ray,2022年的今天，焦虑充斥着每一个人。升学，就业，爱情，生子，房车等等，厌倦内卷却又无形助力，呼喊躺平但又躺不下去。一边面临职场年龄歧视，学历歧视，一边延迟退休，生育接近负增长。矛盾，浮躁填满了每一个焦虑的个体。以至于忘却了生活本身，年龄本身的色彩。 本以70岁的...  (展开),"2022 is full of anxiety for everyone.Career, employment, love, childbirth, motorhome, etc., tired of the inner volume but invisible help, shouting lying flat but not lying down.While facing age discrimination in the workplace, education discrimination, while delaying retirement, childbirth is close to negative growth.Contradictions and impetuosity fill every anxious individual.Forgetting the color of life itself, the age itself. He was 70 years old.。。  (Deployment)",He was 70 years old.。。  (Deployment),2022-07-25 23:22:39
艾玛的假日,首先我想说，这是我六月份评分最好的电影，当我们用心感受，设身处地理解自己她人的苦衷时，是我所感受过最温暖的事了。 最近经历了志愿填报，难以避免会有争执，同时高考失利，表面的欣然接受，内心难免会有自责。经常性表面上的轻松，我们都需要有人来理解，来帮助，恰恰我是...  (展开),"First of all, I want to say that this is my best rated movie in June, and it's the warmest thing I've ever felt when we feel it and put ourselves in a position to understand the grievances of others. Recently experienced voluntary reporting, it is difficult to avoid disputes, and at the same time, the college entrance examination is lost, the surface is happy to accept, and the heart will inevitably have self-blame.Often on the surface of ease, we all need someone to understand, to help, exactly what I am.。。  (Deployment)","First of all, I want to say that this is my best rated movie in June, and it's the warmest thing I've ever felt when we feel it and put ourselves in a position to understand the grievances of others.",2021-06-27 0:57:26
艾玛的假日,首先我想说，这是我六月份评分最好的电影，当我们用心感受，设身处地理解自己她人的苦衷时，是我所感受过最温暖的事了。 最近经历了志愿填报，难以避免会有争执，同时高考失利，表面的欣然接受，内心难免会有自责。经常性表面上的轻松，我们都需要有人来理解，来帮助，恰恰我是...  (展开),"First of all, I want to say that this is my best rated movie in June, and it's the warmest thing I've ever felt when we feel it and put ourselves in a position to understand the grievances of others. Recently experienced voluntary reporting, it is difficult to avoid disputes, and at the same time, the college entrance examination is lost, the surface is happy to accept, and the heart will inevitably have self-blame.Often on the surface of ease, we all need someone to understand, to help, exactly what I am.。。  (Deployment)","Recently experienced voluntary reporting, it is difficult to avoid disputes, and at the same time, the college entrance examination is lost, the surface is happy to accept, and the heart will inevitably have self-blame.Often on the surface of ease, we all need someone to understand, to help, exactly what I am.。。  (Deployment)",2021-06-27 0:57:26
